name,ICAO,IATA,OtherCode,crownDependency,designated,british,label
Maygatka Airport.,UHKM,GVN,,False,False,False,Maygatka Airport. (Russia) (UHKM / GVN)
Omsukchan Airport,UHMF,,,False,False,False,Omsukchan Airport (Russia) (UHMF)
Chaybukha Airport,UHMG,,,False,False,False,Chaybukha Airport (Russia) (UHMG)
Keperveem Airport,UHMK,,,False,False,False,Keperveem Airport (Russia) (UHMK)
Magadan-13 Airport,UHMT,,,False,False,False,Magadan-13 Airport (Russia) (UHMT)
Nikolayevsk-na-Amure Airport,UHNN,NLI,,False,False,False,Nikolayevsk-na-Amure Airport (Russia) (UHNN / NLI)
Palana Airport,UHPL,,UIBV,False,False,False,Palana Airport (Russia) (UHPL)
Zheleznogorsk Airport,UIBV,,,False,False,False,Zheleznogorsk Airport (Russia) (UIBV)
Gvardeyskoe Air Base,UKFG,,,False,False,False,Gvardeyskoe Air Base (Ukraine) (UKFG)
Saki Air Base,UKFI,,,False,False,False,Saki Air Base (Ukraine) (UKFI)
Dzhankoy Airport,UKFY,,,False,False,False,Dzhankoy Airport (Ukraine) (UKFY)
Ozerne Air Base,UKKO,,,False,False,False,Ozerne Air Base (Ukraine) (UKKO)
Severomorsk-1 Naval Air Base,ULAK,,,False,False,False,Severomorsk-1 Naval Air Base (Russia) (ULAK)
Pushkin Airport,ULLP,,,False,False,False,Pushkin Airport (Russia) (ULLP)
Siversky Air Base,ULLS,,,False,False,False,Siversky Air Base (Russia) (ULLS)
Staraya Russa Air Base,ULNR,,,False,False,False,Staraya Russa Air Base (Russia) (ULNR)
Peski Airport,ULPP,,,False,False,False,Peski Airport (Russia) (ULPP)
Baranavichi Air Base,UMMA,,,False,False,False,Baranavichi Air Base (Belarus) (UMMA)
Babruisk Air Base,UMNB,,,False,False,False,Babruisk Air Base (Belarus) (UMNB)
Severo-Eniseysk Airport,UNIS,,,False,False,False,Severo-Eniseysk Airport (Russia) (UNIS)
Sharypovo Airport,UNKO,,,False,False,False,Sharypovo Airport (Russia) (UNKO)
Omsk Severny Airport,UNOS,,,False,False,False,Omsk Severny Airport (Russia) (UNOS)
Nagurskoye,UODN,,,False,False,False,Nagurskoye (Russia) (UODN)
Svetlogorsk Airport,UOIG,,,False,False,False,Svetlogorsk Airport (Russia) (UOIG)
Valek Airport,UOOW,,,False,False,False,Valek Airport (Russia) (UOOW)
Khanskaya Air Base,URKH,,,False,False,False,Khanskaya Air Base (Russia) (URKH)
Dudinka Airport,UROD,,,False,False,False,Dudinka Airport (Russia) (UROD)
Volgodonsk Airport,URRY,VLK,,False,False,False,Volgodonsk Airport (Russia) (URRY / VLK)
Tashkent East Airport,UTTP,,,False,False,False,Tashkent East Airport (Uzbekistan) (UTTP)
Myachkovo Airport,UUBM,,,False,False,False,Myachkovo Airport (Russia) (UUBM)
Tretyakovo Airport,UUMT,,,False,False,False,Tretyakovo Airport (Russia) (UUMT)
Yermolino Airport,UUWE,,,False,False,False,Yermolino Airport (Russia) (UUWE)
Inta Airport,UUYI,INA,,False,False,False,Inta Airport (Russia) (UUYI / INA)
Izhma Airport,UUYV,,,False,False,False,Izhma Airport (Russia) (UUYV)
Borisoglebskoye Airport,UWKG,,,False,False,False,Borisoglebskoye Airport (Russia) (UWKG)
Zhigansk Airport,UWKV,ZIX,,False,False,False,Zhigansk Airport (Russia) (UWKV / ZIX)
Maksimovka Airport,UWUM,,,False,False,False,Maksimovka Airport (Russia) (UWUM)
Buguruslan Severny Airport,UWWB,,,False,False,False,Buguruslan Severny Airport (Russia) (UWWB)
Bezymyanka Airfield,UWWG,,,False,False,False,Bezymyanka Airfield (Russia) (UWWG)
Ratnagiri Airport,VARG,RTC,,False,False,False,Ratnagiri Airport (India) (VARG / RTC)
